whale_ID,AID,year,year_f,month,date,DOY,sex,DU,BAI_mean,BAI_SD,BAI_low,BAI_upp,mean_temp_30d,mean_temp_15d,prev_30d_hypoxic_days,prev_15d_hypoxic_days,prev15d_cuti_sum,prev15d_cuti_mean,ndays_Rx_15d,prev30d_cuti_sum,prev30d_cuti_mean,ndays_Rx_30d,winter,winter_precip_cm,kelp_area,MEI,MEI_season,PDO,PDO_season,CUTI_RX_ratio
CRC278,CRC278_180831,2018,2018,8,2018-08-31,243,Male,MM,25.8505277919369,0.341886845532489,25.1649049920605,26.5090215870286,8.81087972222222,8.94472583333333,8,6,9.326,0.621733333333333,0,13.03,0.482592592592593,3,2017-2018,51.23,26712,-0.05,-0.175714285714286,-0.01,-0.421666666666667,2.1170750000000003
CRC286,CRC286_180919,2018,2018,9,2018-09-19,262,NA,MU,24.9382459871339,0.364075533998372,24.2304512313238,25.6555660712986,9.60376222222222,10.2233441666667,8,3,3.916,0.3916,5,13.876,0.55504,5,2017-2018,51.23,26712,0.46,-0.175714285714286,-0.24,-0.421666666666667,2.1170750000000003
CRC296,CRC296_171004,2017,2017,10,2017-10-04,277,Male,MM,26.7517957979,0.525016390020525,25.6895151079311,27.7729653539735,10.3403970833333,11.3747652777778,19,5,2.626,0.2626,5,5.529,0.325235294117647,13,2016-2017,135.28,7345,-0.74,-0.418571428571429,-0.2,0.01,2.392235294117647
CRC297,CRC297_190723,2019,2019,7,2019-07-23,204,Male,MM,26.3786939890537,0.499845939406984,25.4098992272433,27.3483994366729,9.21467777777778,9.24946166666667,5,5,5.242,0.476545454545455,4,10.305,0.490714285714286,9,2018-2019,40.11,36253,0.35,0.281428571428571,-0.07,0.153333333333333,1.9955555555555533
CRC297,CRC297_200817,2020,2020,8,2020-08-17,230,Male,MM,24.9124372146492,0.218785631386502,24.4749061778731,25.3471392423236,7.68988777777778,7.81153027777778,16,6,6.427,0.535583333333333,3,14.508,0.58032,5,2019-2020,50.5,21692,-0.94,-0.754285714285714,-0.92,-0.981666666666667,1.0426904761904763
CRC297,CRC297_220602,2022,2022,6,2022-06-02,153,Male,MM,25.8061634532959,0.386083127571709,25.0229516633514,26.5488517791895,9.88628583333333,9.04326444444444,0,0,5.905,0.421785714285714,1,7.687,0.366047619047619,9,2021-2022,116.03,3632,-1.63,-1.78857142857143,-2.24,-2.16,1.5612894736842104
CRC297,CRC297_220822,2022,2022,8,2022-08-22,234,Male,MM,25.2704009741266,0.443430270800174,24.3996528670781,26.1309380372562,8.99220347222222,9.90864305555556,5,0,2.862,0.2862,5,11.716,0.488166666666667,6,2021-2022,116.03,3632,-2.17,-1.78857142857143,-2.64,-2.16,1.5612894736842104
CRC297,CRC297_221003,2022,2022,10,2022-10-03,276,Male,MM,29.771084430975,0.416275391782329,28.9617465587493,30.5910062539741,9.95496847222222,10.8664386111111,2,0,3.149,0.393625,7,10.559,0.555736842105263,11,2021-2022,116.03,3632,-1.73,-1.78857142857143,-2.29,-2.16,1.5612894736842104
CRC297,CRC297_230526,2023,2023,5,2023-05-26,146,Male,MM,26.9298625940811,0.445626036485435,26.0664773597965,27.7958249953381,9.42529736111111,9.15008944444445,0,0,7.459,0.678090909090909,4,11.78,0.589,10,2022-2023,99.26,143972,-0.37,0.31,-3.07,-2.66666666666667,2.5459714285714283
CRC297,CRC297_230909,2023,2023,9,2023-09-09,252,Male,MM,29.1128244734087,0.38919136832729,28.3734515979563,29.8780637558567,9.21525097222222,9.91365833333333,7,0,3.259,0.362111111111111,6,13.877,0.578208333333333,6,2022-2023,99.26,143972,0.51,0.31,-2.47,-2.66666666666667,2.5459714285714283
CRC303,CRC303_170924,2017,2017,9,2017-09-24,267,Male,MM,23.7491172282827,0.526339472057936,22.7177342831601,24.7912219051288,9.39857375,10.3006383333333,26,11,2.957,0.369625,7,8.975,0.44875,10,2016-2017,135.28,7345,-0.73,-0.418571428571429,-0.63,0.01,2.392235294117647
CRC303,CRC303_171005,2017,2017,10,2017-10-05,278,Male,MM,26.3227333215238,0.3645467364623,25.6057521834284,27.0226499529888,10.4123961111111,11.2672483333333,19,6,3.219,0.292636363636364,4,6.075,0.357352941176471,13,2016-2017,135.28,7345,-0.74,-0.418571428571429,-0.2,0.01,2.392235294117647
CRC303,CRC303_180920,2018,2018,9,2018-09-20,263,Male,MM,27.0999108250543,0.437234141366225,26.253611516521,27.9655036693302,9.65744638888889,10.3601675,7,2,3.052,0.3052,5,13.393,0.53572,5,2017-2018,51.23,26712,0.46,-0.175714285714286,-0.24,-0.421666666666667,2.1170750000000003
CRC303,CRC303_191001,2019,2019,10,2019-10-01,274,Male,MM,27.3745119281498,0.626767972072936,26.1485416148705,28.5883592394307,11.9273023611111,12.3318716666667,0,0,6.319,0.526583333333333,3,8.713,0.43565,10,2018-2019,40.11,36253,0.16,0.281428571428571,0.12,0.153333333333333,1.9955555555555533
CRC308,CRC308_170916,2017,2017,9,2017-09-16,259,Female,MF,26.8350866131303,0.458239995400857,25.9375475232952,27.7294724226287,8.53420513888889,8.84720194444444,30,15,5.035,0.5035,5,14.998,0.59992,5,2016-2017,135.28,7345,-0.73,-0.418571428571429,-0.63,0.01,2.392235294117647
CRC308,CRC308_190820,2019,2019,8,2019-08-20,232,Female,MF,26.5559621602315,0.453300284437511,25.6652560569822,27.463859777251,8.57611458333333,8.91131722222222,12,2,7.274,0.559538461538462,2,17.091,0.657346153846154,4,2018-2019,40.11,36253,0.3,0.281428571428571,0.52,0.153333333333333,1.9955555555555533
CRC308,CRC308_200817,2020,2020,8,2020-08-17,230,Female,MF,23.3612388334403,0.345044596954241,22.7191418098529,24.054736290581,7.68988777777778,7.81153027777778,16,6,6.427,0.535583333333333,3,14.508,0.58032,5,2019-2020,50.5,21692,-0.94,-0.754285714285714,-0.92,-0.981666666666667,1.0426904761904763
